id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_estimators,criterion,max_depth,min_samples_leaf,max_features,bootstrap,n_jobs,random_state,class_weight
486,euclidian_px_all,randomforestclassifier,None,0.7245454545454546,"(0.6557229508022195, 0.7933679582886897)",0.6599999999999999,0.64,0.6333333333333334,1000,gini,,1,98,True,-1,707878,
487,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.637622358507673, 0.811468550583236)",0.6816666666666668,0.615,0.628968253968254,1000,gini,,2,98,True,-1,707878,
488,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.7054761904761905,0.615,0.6421717171717172,1000,gini,,5,98,True,-1,707878,
489,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6721428571428572,0.5650000000000001,0.5921717171717172,1000,gini,,10,98,True,-1,707878,
490,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,98,True,-1,707878,
491,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,98,True,-1,707878,
492,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6833333333333333,0.64,0.6452380952380953,1000,gini,,1,102,True,-1,707878,
493,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.665,0.615,0.6218253968253968,1000,gini,,2,102,True,-1,707878,
494,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,5,102,True,-1,707878,
495,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6409582454525862, 0.8244963000019592)",0.6804761904761906,0.615,0.6290764790764791,1000,gini,,10,102,True,-1,707878,
496,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,102,True,-1,707878,
497,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,102,True,-1,707878,
498,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6833333333333333,0.64,0.6452380952380953,1000,gini,,1,106,True,-1,707878,
499,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6398425242210048, 0.8074302030517224)",0.675,0.615,0.6273809523809524,1000,gini,,2,106,True,-1,707878,
500,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.7054761904761905,0.615,0.6421717171717172,1000,gini,,5,106,True,-1,707878,
501,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6721428571428572,0.5650000000000001,0.5921717171717172,1000,gini,,10,106,True,-1,707878,
502,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,106,True,-1,707878,
503,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,106,True,-1,707878,
504,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6456510338864783, 0.801621693386249)",0.6583333333333333,0.64,0.6345238095238095,1000,gini,,1,110,True,-1,707878,
505,euclidian_px_all,randomforestclassifier,None,0.7427272727272728,"(0.6682646950941517, 0.8171898503603939)",0.7083333333333333,0.615,0.6416666666666666,1000,gini,,2,110,True,-1,707878,
506,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6888095238095238,0.5900000000000001,0.6183621933621933,1000,gini,,5,110,True,-1,707878,
507,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6409582454525862, 0.8244963000019592)",0.6804761904761906,0.615,0.6290764790764791,1000,gini,,10,110,True,-1,707878,
508,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,110,True,-1,707878,
509,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,110,True,-1,707878,
510,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6441563175851779, 0.8231164096875494)",0.6833333333333333,0.665,0.6563492063492063,1000,gini,,1,114,True,-1,707878,
511,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6471428571428571,0.615,0.6171717171717173,1000,gini,,2,114,True,-1,707878,
512,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.6888095238095239,0.615,0.63502886002886,1000,gini,,5,114,True,-1,707878,
