id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_neighbors,weights,algorithm,leaf_size,n_jobs
94,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,auto,30,-1
95,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,brute,1,-1
96,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,brute,5,-1
97,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,brute,10,-1
98,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,brute,20,-1
99,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,brute,30,-1
100,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,auto,1,-1
101,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,auto,5,-1
102,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,auto,10,-1
103,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,auto,20,-1
104,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,auto,30,-1
105,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,brute,1,-1
106,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,brute,5,-1
107,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,brute,10,-1
108,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,brute,20,-1
109,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6342076435557978, 0.8330650837169294)",0.6594444444444444,0.8099999999999999,0.7089194139194138,20,uniform,brute,30,-1
110,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,auto,1,-1
111,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,auto,5,-1
112,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,auto,10,-1
113,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,auto,20,-1
114,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,auto,30,-1
115,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,brute,1,-1
116,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,brute,5,-1
117,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,brute,10,-1
118,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,brute,20,-1
119,euclidian_px_all,kneighborsclassifier,ReliefF,0.7154545454545456,"(0.6375385319931332, 0.793370558915958)",0.6144444444444443,0.835,0.6937606837606838,20,distance,brute,30,-1
