id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
67,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363636,"(0.6519285133797164, 0.7953442138930109)",0.6799999999999999,0.64,0.6377777777777777,"(100,)",relu,0.001,lbfgs,0.001,300,707878
68,euclidian_px_all,mlpclassifier,FCBF,0.7790909090909091,"(0.7313988358718312, 0.8267829823099869)",0.72,0.735,0.7138888888888888,"(100,)",relu,0.01,lbfgs,0.001,300,707878
69,euclidian_px_all,mlpclassifier,FCBF,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",relu,0.0001,sgd,0.001,300,707878
70,euclidian_px_all,mlpclassifier,FCBF,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",relu,0.001,sgd,0.001,300,707878
71,euclidian_px_all,mlpclassifier,FCBF,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",relu,0.01,sgd,0.001,300,707878
72,euclidian_px_all,mlpclassifier,FCBF,0.7518181818181818,"(0.6696750982474247, 0.833961265388939)",0.6933333333333332,0.6849999999999999,0.6715079365079365,"(100, 100, 100)",identity,0.0001,lbfgs,0.001,300,707878
73,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363636,"(0.6456510338864783, 0.801621693386249)",0.65,0.635,0.6249999999999999,"(100, 100, 100)",identity,0.001,lbfgs,0.001,300,707878
74,euclidian_px_all,mlpclassifier,FCBF,0.6872727272727273,"(0.6153032641432825, 0.759242190402172)",0.5716666666666667,0.49000000000000005,0.5107142857142857,"(100, 100, 100)",identity,0.01,lbfgs,0.001,300,707878
75,euclidian_px_all,mlpclassifier,FCBF,0.769090909090909,"(0.7010822106681556, 0.8370996075136625)",0.7833333333333333,0.5650000000000001,0.6328571428571428,"(100, 100, 100)",identity,0.0001,sgd,0.001,300,707878
76,euclidian_px_all,mlpclassifier,FCBF,0.769090909090909,"(0.7010822106681556, 0.8370996075136625)",0.7833333333333333,0.5650000000000001,0.6328571428571428,"(100, 100, 100)",identity,0.001,sgd,0.001,300,707878
77,euclidian_px_all,mlpclassifier,FCBF,0.769090909090909,"(0.7010822106681556, 0.8370996075136625)",0.7833333333333333,0.5650000000000001,0.6328571428571428,"(100, 100, 100)",identity,0.01,sgd,0.001,300,707878
78,euclidian_px_all,mlpclassifier,FCBF,0.7054545454545454,"(0.6232457096703565, 0.7876633812387344)",0.5716666666666667,0.485,0.4855555555555555,"(100, 100, 100)",logistic,0.0001,lbfgs,0.001,300,707878
79,euclidian_px_all,mlpclassifier,FCBF,0.6781818181818181,"(0.5835890909090908, 0.7727745454545454)",0.5466666666666666,0.515,0.5155555555555555,"(100, 100, 100)",logistic,0.001,lbfgs,0.001,300,707878
80,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6633333333333333,0.615,0.6253968253968255,"(100, 100, 100)",logistic,0.01,lbfgs,0.001,300,707878
81,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100, 100, 100)",logistic,0.0001,sgd,0.001,300,707878
82,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100, 100, 100)",logistic,0.001,sgd,0.001,300,707878
83,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100, 100, 100)",logistic,0.01,sgd,0.001,300,707878
84,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363635,"(0.634411348132103, 0.8128613791406241)",0.6383333333333333,0.61,0.6061904761904762,"(100, 100, 100)",tanh,0.0001,lbfgs,0.001,300,707878
85,euclidian_px_all,mlpclassifier,FCBF,0.6781818181818181,"(0.5835890909090908, 0.7727745454545454)",0.5283333333333333,0.515,0.5073809523809524,"(100, 100, 100)",tanh,0.001,lbfgs,0.001,300,707878
86,euclidian_px_all,mlpclassifier,FCBF,0.7154545454545456,"(0.6507126469792782, 0.7801964439298129)",0.6766666666666666,0.64,0.6115873015873016,"(100, 100, 100)",tanh,0.01,lbfgs,0.001,300,707878
87,euclidian_px_all,mlpclassifier,FCBF,0.769090909090909,"(0.6944927929690818, 0.8436890252127363)",0.7166666666666667,0.54,0.6095238095238095,"(100, 100, 100)",tanh,0.0001,sgd,0.001,300,707878
88,euclidian_px_all,mlpclassifier,FCBF,0.769090909090909,"(0.6944927929690818, 0.8436890252127363)",0.7166666666666667,0.54,0.6095238095238095,"(100, 100, 100)",tanh,0.001,sgd,0.001,300,707878
89,euclidian_px_all,mlpclassifier,FCBF,0.769090909090909,"(0.6944927929690818, 0.8436890252127363)",0.7166666666666667,0.54,0.6095238095238095,"(100, 100, 100)",tanh,0.01,sgd,0.001,300,707878
90,euclidian_px_all,mlpclassifier,FCBF,0.7518181818181818,"(0.7065522250772774, 0.7970841385590862)",0.7004761904761904,0.665,0.6574891774891776,"(100, 100, 100)",relu,0.0001,lbfgs,0.001,300,707878
91,euclidian_px_all,mlpclassifier,FCBF,0.7336363636363636,"(0.6441563175851779, 0.8231164096875494)",0.6454761904761905,0.665,0.6228066378066378,"(100, 100, 100)",relu,0.001,lbfgs,0.001,300,707878
92,euclidian_px_all,mlpclassifier,FCBF,0.7709090909090909,"(0.7083259272238033, 0.8334922545943785)",0.7933333333333332,0.61,0.6403968253968254,"(100, 100, 100)",relu,0.01,lbfgs,0.001,300,707878
93,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363636,"(0.6665169794231863, 0.7807557478495409)",0.6916666666666667,0.41500000000000004,0.5030952380952382,"(100, 100, 100)",relu,0.0001,sgd,0.001,300,707878
94,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363636,"(0.6665169794231863, 0.7807557478495409)",0.6916666666666667,0.41500000000000004,0.5030952380952382,"(100, 100, 100)",relu,0.001,sgd,0.001,300,707878
95,euclidian_px_all,mlpclassifier,FCBF,0.7236363636363636,"(0.6665169794231863, 0.7807557478495409)",0.6916666666666667,0.41500000000000004,0.5030952380952382,"(100, 100, 100)",relu,0.01,sgd,0.001,300,707878
96,euclidian_px_all,mlpclassifier,FCBF,0.7054545454545454,"(0.6291748180479589, 0.781734272861132)",0.6483333333333333,0.5650000000000001,0.5721428571428571,"(45,)",identity,0.0001,lbfgs,0.001,300,707878
97,euclidian_px_all,mlpclassifier,FCBF,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.6066666666666667,0.6900000000000001,0.6411111111111112,"(45,)",identity,0.001,lbfgs,0.001,300,707878
98,euclidian_px_all,mlpclassifier,FCBF,0.7336363636363636,"(0.6849690909090909, 0.7823036363636364)",0.645,0.6599999999999999,0.6442857142857144,"(45,)",identity,0.01,lbfgs,0.001,300,707878
99,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",identity,0.0001,sgd,0.001,300,707878
100,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",identity,0.001,sgd,0.001,300,707878
101,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",identity,0.01,sgd,0.001,300,707878
102,euclidian_px_all,mlpclassifier,FCBF,0.7063636363636364,"(0.6208574746021963, 0.7918697981250765)",0.6706349206349207,0.6599999999999999,0.6292585192585192,"(45,)",logistic,0.0001,lbfgs,0.001,300,707878
103,euclidian_px_all,mlpclassifier,FCBF,0.7163636363636364,"(0.6397397511722799, 0.792987521554993)",0.6078571428571429,0.5650000000000001,0.5660533910533911,"(45,)",logistic,0.001,lbfgs,0.001,300,707878
104,euclidian_px_all,mlpclassifier,FCBF,0.6972727272727274,"(0.6359599772201627, 0.758585477325292)",0.6283333333333334,0.54,0.567063492063492,"(45,)",logistic,0.01,lbfgs,0.001,300,707878
105,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",logistic,0.0001,sgd,0.001,300,707878
106,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",logistic,0.001,sgd,0.001,300,707878
107,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",logistic,0.01,sgd,0.001,300,707878
108,euclidian_px_all,mlpclassifier,FCBF,0.6881818181818182,"(0.6123437765491542, 0.7640198598144823)",0.6566666666666667,0.5650000000000001,0.5726984126984127,"(45,)",tanh,0.0001,lbfgs,0.001,300,707878
109,euclidian_px_all,mlpclassifier,FCBF,0.6890909090909092,"(0.6209717620392812, 0.7572100561425372)",0.5766666666666667,0.585,0.5677777777777777,"(45,)",tanh,0.001,lbfgs,0.001,300,707878
110,euclidian_px_all,mlpclassifier,FCBF,0.6618181818181819,"(0.5884521274702853, 0.7351842361660784)",0.5928571428571427,0.54,0.5347041847041847,"(45,)",tanh,0.01,lbfgs,0.001,300,707878
111,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",tanh,0.0001,sgd,0.001,300,707878
112,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",tanh,0.001,sgd,0.001,300,707878
113,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",tanh,0.01,sgd,0.001,300,707878
114,euclidian_px_all,mlpclassifier,FCBF,0.7154545454545456,"(0.6507126469792782, 0.7801964439298129)",0.6754761904761905,0.64,0.6259812409812409,"(45,)",relu,0.0001,lbfgs,0.001,300,707878
115,euclidian_px_all,mlpclassifier,FCBF,0.7063636363636364,"(0.6208574746021963, 0.7918697981250765)",0.6011904761904762,0.5650000000000001,0.5589105339105338,"(45,)",relu,0.001,lbfgs,0.001,300,707878
116,euclidian_px_all,mlpclassifier,FCBF,0.7518181818181818,"(0.7065522250772774, 0.7970841385590862)",0.7283333333333333,0.61,0.6476190476190474,"(45,)",relu,0.01,lbfgs,0.001,300,707878
117,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",relu,0.0001,sgd,0.001,300,707878
118,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",relu,0.001,sgd,0.001,300,707878
119,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(45,)",relu,0.01,sgd,0.001,300,707878
120,euclidian_px_all,mlpclassifier,FCBF,0.7145454545454546,"(0.6468136656539283, 0.7822772434369809)",0.6449999999999999,0.615,0.6137301587301588,"(45, 45, 45)",identity,0.0001,lbfgs,0.001,300,707878
121,euclidian_px_all,mlpclassifier,FCBF,0.77,"(0.7221112981457082, 0.8178887018542919)",0.7000000000000001,0.6849999999999999,0.6853174603174603,"(45, 45, 45)",identity,0.001,lbfgs,0.001,300,707878
122,euclidian_px_all,mlpclassifier,FCBF,0.7154545454545456,"(0.6211677873332442, 0.809741303575847)",0.6266666666666667,0.655,0.6285714285714286,"(45, 45, 45)",identity,0.01,lbfgs,0.001,300,707878
123,euclidian_px_all,mlpclassifier,FCBF,0.7509090909090909,"(0.6848631355584275, 0.8169550462597542)",0.7583333333333333,0.515,0.6059523809523809,"(45, 45, 45)",identity,0.0001,sgd,0.001,300,707878
124,euclidian_px_all,mlpclassifier,FCBF,0.7509090909090909,"(0.6848631355584275, 0.8169550462597542)",0.7583333333333333,0.515,0.6059523809523809,"(45, 45, 45)",identity,0.001,sgd,0.001,300,707878
125,euclidian_px_all,mlpclassifier,FCBF,0.76,"(0.6926159482291406, 0.8273840517708594)",0.7666666666666667,0.54,0.6238095238095237,"(45, 45, 45)",identity,0.01,sgd,0.001,300,707878
126,euclidian_px_all,mlpclassifier,FCBF,0.7063636363636364,"(0.6552478427149941, 0.7574794300122787)",0.6171428571428572,0.635,0.6074891774891775,"(45, 45, 45)",logistic,0.0001,lbfgs,0.001,300,707878
127,euclidian_px_all,mlpclassifier,FCBF,0.6136363636363636,"(0.5429813263246428, 0.6842914009480845)",0.43880952380952376,0.54,0.4748701298701299,"(45, 45, 45)",logistic,0.001,lbfgs,0.001,300,707878
