id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
114,euclidian_px_all,mlpclassifier,ReliefF,0.6963636363636364,"(0.6129632238153574, 0.7797640489119154)",0.5842857142857143,0.755,0.6527272727272726,"(45,)",relu,0.0001,lbfgs,0.001,300,707878
115,euclidian_px_all,mlpclassifier,ReliefF,0.6963636363636364,"(0.6129632238153574, 0.7797640489119154)",0.5795238095238096,0.6849999999999999,0.6191486291486291,"(45,)",relu,0.001,lbfgs,0.001,300,707878
116,euclidian_px_all,mlpclassifier,ReliefF,0.7045454545454546,"(0.6188636363636364, 0.7902272727272728)",0.5757142857142857,0.7,0.6145021645021645,"(45,)",relu,0.01,lbfgs,0.001,300,707878
117,euclidian_px_all,mlpclassifier,ReliefF,0.4036363636363636,"(0.35908709122112353, 0.4481856360516037)",0.38515151515151513,0.975,0.550915750915751,"(45,)",relu,0.0001,sgd,0.001,300,707878
118,euclidian_px_all,mlpclassifier,ReliefF,0.4036363636363636,"(0.35908709122112353, 0.4481856360516037)",0.38515151515151513,0.975,0.550915750915751,"(45,)",relu,0.001,sgd,0.001,300,707878
119,euclidian_px_all,mlpclassifier,ReliefF,0.4036363636363636,"(0.35908709122112353, 0.4481856360516037)",0.38515151515151513,0.975,0.550915750915751,"(45,)",relu,0.01,sgd,0.001,300,707878
120,euclidian_px_all,mlpclassifier,ReliefF,0.7245454545454546,"(0.6274114421690961, 0.8216794669218132)",0.6211904761904761,0.7150000000000001,0.6555772005772006,"(45, 45, 45)",identity,0.0001,lbfgs,0.001,300,707878
121,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454546,"(0.6401997008387709, 0.7888912082521383)",0.6002380952380952,0.7,0.637092352092352,"(45, 45, 45)",identity,0.001,lbfgs,0.001,300,707878
122,euclidian_px_all,mlpclassifier,ReliefF,0.7154545454545456,"(0.6317252135481723, 0.7991838773609188)",0.6316666666666666,0.6900000000000001,0.6416666666666666,"(45, 45, 45)",identity,0.01,lbfgs,0.001,300,707878
123,euclidian_px_all,mlpclassifier,ReliefF,0.7054545454545453,"(0.6029017485542847, 0.808007342354806)",0.6254761904761904,0.76,0.6713203463203463,"(45, 45, 45)",identity,0.0001,sgd,0.001,300,707878
124,euclidian_px_all,mlpclassifier,ReliefF,0.7054545454545453,"(0.6029017485542847, 0.808007342354806)",0.6254761904761904,0.76,0.6713203463203463,"(45, 45, 45)",identity,0.001,sgd,0.001,300,707878
125,euclidian_px_all,mlpclassifier,ReliefF,0.7054545454545453,"(0.6029017485542847, 0.808007342354806)",0.6254761904761904,0.76,0.6713203463203463,"(45, 45, 45)",identity,0.01,sgd,0.001,300,707878
126,euclidian_px_all,mlpclassifier,ReliefF,0.5672727272727273,"(0.4235167134021175, 0.711028741143337)",0.5055050505050505,0.85,0.6056648906648906,"(45, 45, 45)",logistic,0.0001,lbfgs,0.001,300,707878
